id,name,address,precincts,phone,status,lat,lon
244,Sylvan Middle School,1461 Sylvan Rd SW,12A1,+14708231724,1,33.71559316345638,-84.41844857925969
245,Historic Academy of Medicine,875 West Peachtree St NW,02A1,+14708232448,1,33.778358357634836,-84.38700473785761
246,Adams Park Recreation Center,1620 Delowe Drive SW,11M1,+14708232457,1,33.711912516396225,-84.46209662011566
247,Scott Elem School,1752 Hollywood Rd Nw,09K1,+17706923686,1,33.80295763343214,-84.47040085608981
248,Sweet Apple Elementary School,12025 Etris Rd,RW12A,,1,34.072802076145656,-84.36279687677187
249,Creekside High School,7405 Herndon Road,SC07D,+17622394847,1,33.55867300065375,-84.62767912272525
250,Covenant Presbyterian Church,2461 Peachtree Road,08H,+14703005979,1,33.82172176673359,-84.38749342702125
251,Ponce City Market,675 Ponce De Leon Ave NE,"02F1,02F2",+17706924815,1,33.773042957217406,-84.36623048689908
252,Buckhead Theatre,3110 Roswell Rd NE,07M,+17706923483,1,33.840309860564176,-84.37977801233144
253,Southwest Atlanta Christian Academy,3911 Campbellton Rd SW,11B1,,1,33.692697436094285,-84.51635462921243
254,North Fulton Training Center,5025 Roswell Road,"SS13A,SS13B",+17706927134,1,33.892317940544025,-84.38091345273374
255,Summit Hill Elementaty School,13855 Providence Rd,ML03A,+14708232521,1,34.11836290659849,-84.3200013295095
256,The Fox Theatre,660 Peachtree St NE,02L1A,+17706926243,1,33.77266936229437,-84.38509838851454
257,The Gathering Place,6280 Bryant St,UC02C,+17706923705,1,33.58439216544241,-84.55414508118382
258,Cliftondale Elementary School,3340 West Stubbs Rd,SC15A,+14703007023,1,33.656532153286065,-84.6155502683037
259,Sandy Springs United Meth. Ch.,86 Mount Vernon Hwy Nw,SS09B,+17706925232,1,33.92316209688367,-84.38469562310962
