Group,Location,Address,phone number,# of signs,priority,Person,Duplicates,new number,,,Volunteer Assigned ,Shift,Notess,,,
3,North River Baptist Church,12090 Hardscrabble Road,,1,,,,,,,,,,,,
3,Lebanon Baptist Church,11250 Crabapple Road,,1,,,,,,,,,,,,
3,Sweet Apple Elementary,12025 Etris Rd,,1,,,,,,,,,,,,
3,Crabapple MiddIe,10700 Crabapple Rd,,2,,,,,,,,,,,,
3,Independence High School,791 Mimosa Blvd,,1,,,,,,,,,,,,
3,Mimosa Elementary School,1550 Warsaw Rd,,1,,,,,,,,,,,,
3,World Harvest Church,320 Hardscrabble Rd,,1,,,,,,,,,,,,
3,Roswell North Elementary,10525 Woodstock Rd,,1,,,,,,,,,,,,
3,Elkins Pointe Middle School,11290 Elkins Road,,1,,,,,,,,,,,,
3,Crosspointe Community Church,77 E Crossville Rd Suite 203,,1,,,,,,,,,,,,
3,Vickery Mill Elementary,1201 Alpharetta St,,2,,,,roswell,,,,,,,,
4,Abbotts Hill Elementary School,5575 Abbotts Bridge Road,,1,,,,,,,,,,,,
7,Believers Bible Christian Church,3689 Campbellton Rd SW,,1,,Michael Best,,,,,,,,,,
15,Ocee Elementary,4375 Kimball Bridge Rd,,,,,,,,,,,,,,
15,Clear Springs Baptist Church,11575 Jones Bridge Rd,,,,,,,,,,,,,,
15,Northeast / Spruill Oaks Library,9560 Spruill Road,,,,,,,,,,,,,,
